old_value,Manual,Iso Code 2,Iso Code 3,new_value
USA,,,US,US
GOV,,,,
MAL,,,,
ARU,,,,
PAN,,,PA,PA
ANT,,,,
FWI,,,,
STC,,,,
STT,,,,
BAH,BS,,,BS
TRI,TT,,,TT
HON,HN,,,HN
CAY,KY,,,KY
STM,,,,
COL,,,CO,CO
MEX,,,MX,MX
PR,,PR,,PR
STL,,,,
STK,,,,
ITA,,,IT,IT
CUR,CW,,,CW
BER,BM,,,BM
ECU,,,EC,EC
CR,,CR,,CR
BAR,,,,
JAM,,,JM,JM
DR,DO,,,DO
CAN,,,CA,CA
GRE,GR,,,GR
VEN,,,VE,VE
GUA,GT,,,GT
PER,,,PE,PE
FIN,,,FI,FI
ELS,SV,,,SV
NIC,,,NI,NI
UAE,AE,,,AE
SAB,,,,
HAI,HT,,,HT
MAU,MR,,,MR
ARG,,,AR,AR
CHI,CN,,,CN
TCI,,,,
ENG,GB,,,GB
WAF,,,,
FRA,,,FR,FR
STV,,,,
CD,,CD,,CD
OMA,,,,
PAR,PY,,,PY
STJ,,,,
ANG,AO,,,AO
VG,,VG,,VG
CYP,,,CY,CY
BEL,,,BE,BE
ISR,,,IL,IL
MON,,,,
BRA,,,BR,BR
SAF,,,,
DRE,,,,
TOR,,,,
CHN,,,CN,CN
AUS,,,AU,AU
BOL,,,BO,BO
GUY,,,GY,GY
NET,,,,
BWI,,,,
JAP,JP,,,JP
WIN,,,,
SUR,,,SR,SR
USV,,,,
URU,UY,,,UY
W I,,,,
IND,,,IN,IN
NEV,,,,
GER,DE,,,DE
MC,,MC,,MC
PH,,PH,,PH
DOM,,,DO,DO
MQ,,MQ,,MQ
BRN,,,BN,BN
STB,,,,
NIG,NG,,,NG
SGP,,,SG,SG
TUR,,,TR,TR
SPA,ES,,,ES
TTI,,,,
SA,,SA,,SA
BON,BQ,,,BQ
VI,,VI,,VI
ANE,,,,
UZB,,,UZ,UZ
LIB,,,,
GRC,,,GR,GR
RUS,,,RU,RU
AFG,,,AF,AF
HI,,,,
GHA,,,GH,GH